SequenceLength,SampleNo,WallClockTime,CPUTime,LogWallClockTime,LogSequenceLength
50,90,0.914255857,0.914613962,-0.089644816,3.912023005
50,91,0.92185998,0.922152156,-0.081361932,3.912023005
50,92,1.059188366,1.059430464,0.057502922,3.912023005
50,93,1.066704512,1.067045664,0.064574001,3.912023005
50,94,1.072760105,1.072979071,0.070234865,3.912023005
50,95,1.083411217,1.083651819,0.080114598,3.912023005
50,96,1.099539518,1.09978134,0.094891472,3.912023005
50,97,1.07269907,1.072921671,0.070177968,3.912023005
50,98,1.060795546,1.061085705,0.059019142,3.912023005
50,99,1.079796791,1.080082328,0.076772867,3.912023005
50,100,1.056936026,1.057276564,0.055374181,3.912023005
100,1,1.090793371,1.090183383,0.086905295,4.605170186
100,2,1.108740091,1.108872815,0.103224318,4.605170186
100,3,1.098286867,1.098506153,0.093751572,4.605170186
100,4,1.094001293,1.094304219,0.089841886,4.605170186
100,5,1.103002787,1.103262915,0.098036267,4.605170186
100,6,1.040500164,1.04085091,0.039701524,4.605170186
100,7,0.92117095,0.921372384,-0.082109646,4.605170186
100,8,0.922828197,0.923101944,-0.080312197,4.605170186
100,9,0.924308777,0.924671831,-0.078709089,4.605170186
100,10,0.924560308,0.925083019,-0.078436997,4.605170186
100,11,0.926681042,0.92728772,-0.076145848,4.605170186
100,12,0.926616907,0.927216893,-0.07621506,4.605170186
100,13,0.922037601,0.922389728,-0.081169274,4.605170186
100,14,0.921688795,0.922105817,-0.081547645,4.605170186
100,15,0.926236391,0.926781939,-0.076625795,4.605170186
100,16,0.926202774,0.926672923,-0.07666209,4.605170186
100,17,0.936074972,0.936896272,-0.066059707,4.605170186
100,18,0.92822504,0.92885516,-0.074481076,4.605170186
100,19,0.923000097,0.923548177,-0.080125939,4.605170186
100,20,0.929354429,0.930032551,-0.073265096,4.605170186
100,21,0.931488514,0.931842263,-0.07097142,4.605170186
100,22,0.941705465,0.942191838,-0.060062723,4.605170186
100,23,0.925719261,0.926166536,-0.077184264,4.605170186
100,24,0.932441473,0.9336511,-0.069948893,4.605170186
100,25,0.930426121,0.931258169,-0.072112603,4.605170186
100,26,0.929578066,0.929892167,-0.073024488,4.605170186
100,27,0.934966326,0.93620871,-0.067244765,4.605170186
100,28,0.953563929,0.955251544,-0.04754881,4.605170186
100,29,0.930216074,0.930670887,-0.072338382,4.605170186
100,30,0.930835962,0.931222387,-0.071672213,4.605170186
100,31,0.923853636,0.924187714,-0.079201622,4.605170186
100,32,0.921565771,0.921925501,-0.081681131,4.605170186
100,33,0.920672894,0.920978494,-0.08265047,4.605170186
100,34,0.92301178,0.923331222,-0.080113282,4.605170186
100,35,0.92163682,0.921893169,-0.081604038,4.605170186
100,36,0.922147751,0.922598062,-0.081049818,4.605170186
100,37,0.92896986,0.9292697,-0.073678984,4.605170186
100,38,0.926009893,0.92622414,-0.076870361,4.605170186
100,39,0.921878099,0.922226309,-0.081342278,4.605170186
100,40,0.926575422,0.926972129,-0.076259831,4.605170186
100,41,0.922573805,0.922869244,-0.080587901,4.605170186
100,42,0.923760414,0.924079371,-0.079302533,4.605170186
100,43,0.924002886,0.924259808,-0.079040084,4.605170186
100,44,0.921618462,0.921896735,-0.081623957,4.605170186
100,45,0.922407389,0.922711921,-0.080768299,4.605170186
100,46,0.920180559,0.920404232,-0.083185368,4.605170186
100,47,0.921275854,0.921733042,-0.081995772,4.605170186
100,48,0.922145605,0.922415356,-0.081052145,4.605170186
100,49,0.92166853,0.922068912,-0.081569632,4.605170186
100,50,0.923609972,0.923882714,-0.079465405,4.605170186
100,51,0.923169851,0.923561748,-0.079942041,4.605170186
100,52,0.924275875,0.92466312,-0.078744686,4.605170186
100,53,0.921379566,0.92168191,-0.081883204,4.605170186
100,54,0.922225237,0.922477625,-0.080965794,4.605170186
100,55,0.920569897,0.920798435,-0.082762347,4.605170186
100,56,0.928244352,0.928572286,-0.074460271,4.605170186
100,57,0.922048569,0.922330373,-0.081157379,4.605170186
100,58,0.924289942,0.924642852,-0.078729467,4.605170186
100,59,0.926321268,0.926758836,-0.076534163,4.605170186
100,60,0.938997984,0.939876681,-0.062941947,4.605170186
100,61,0.920112133,0.920484472,-0.083259733,4.605170186
100,62,0.922862291,0.923300469,-0.080275253,4.605170186
100,63,0.924766064,0.925182398,-0.078214477,4.605170186
100,64,0.921678782,0.921983808,-0.081558509,4.605170186
100,65,0.925541878,0.925959261,-0.077375899,4.605170186
100,66,0.920377254,0.920640921,-0.082971634,4.605170186
100,67,0.922352314,0.922666164,-0.080828009,4.605170186
100,68,0.924067497,0.924491073,-0.078970161,4.605170186
100,69,0.919914722,0.920223367,-0.083474307,4.605170186
100,70,0.947509527,0.947885867,-0.053918287,4.605170186
100,71,0.916102171,0.91636271,-0.08762738,4.605170186
100,72,0.915410757,0.915708524,-0.0883824,4.605170186
100,73,0.917206049,0.917636823,-0.086423133,4.605170186
100,74,0.914448977,0.914749643,-0.089433606,4.605170186
100,75,0.916220188,0.916578052,-0.087498563,4.605170186
100,76,0.933800459,0.934222577,-0.068492505,4.605170186
100,77,0.923001051,0.923296826,-0.080124906,4.605170186
100,78,0.918910742,0.919299296,-0.084566286,4.605170186
100,79,0.918080568,0.918367022,-0.085470128,4.605170186
100,80,0.922948599,0.923318719,-0.080181735,4.605170186
100,81,0.939704418,0.940150866,-0.062189902,4.605170186
100,82,0.937017441,0.937234224,-0.065053383,4.605170186
100,83,0.91850543,0.918799243,-0.085007463,4.605170186
100,84,0.916697502,0.917013804,-0.086977739,4.605170186
100,85,0.924128771,0.924358738,-0.078903854,4.605170186
100,86,0.921259403,0.921545528,-0.082013629,4.605170186
100,87,0.917821407,0.918119016,-0.085752453,4.605170186
100,88,0.92232728,0.922615307,-0.080855151,4.605170186
100,89,0.927051067,0.927287411,-0.075746626,4.605170186
100,90,0.947611094,0.947990288,-0.053811099,4.605170186
100,91,0.931221724,0.931533349,-0.071257873,4.605170186
100,92,0.929305792,0.929850968,-0.073317432,4.605170186
100,93,0.922489166,0.922709769,-0.080679647,4.605170186
100,94,0.927181005,0.927676625,-0.075606474,4.605170186
100,95,0.927813768,0.928162037,-0.074924247,4.605170186
100,96,0.924381018,0.924804015,-0.078630935,4.605170186
100,97,0.931680441,0.932003704,-0.070765398,4.605170186
100,98,0.943343639,0.944866407,-0.058324652,4.605170186
100,99,0.921155453,0.921584133,-0.08212647,4.605170186
100,100,0.924329758,0.924625492,-0.07868639,4.605170186
200,1,2.659806013,2.658547597,0.978253193,5.298317367
200,2,2.662616491,2.66405631,0.979309283,5.298317367
200,3,2.651545525,2.652427405,0.975142687,5.298317367
200,4,2.65643549,2.657499222,0.976985183,5.298317367
200,5,2.659203053,2.660150702,0.978026474,5.298317367
200,6,2.663367987,2.664430266,0.979591482,5.298317367
200,7,2.661134481,2.662164551,0.978752528,5.298317367
200,8,2.653083801,2.653749777,0.975722662,5.298317367
200,9,2.652425289,2.653280614,0.975474425,5.298317367
200,10,2.655771255,2.656531151,0.976735104,5.298317367
200,11,2.655706644,2.656625898,0.976710775,5.298317367
200,12,2.654977083,2.655726128,0.976436023,5.298317367
200,13,2.655949116,2.65660583,0.976802073,5.298317367
200,14,2.655550003,2.656441016,0.976651791,5.298317367
200,15,2.658181667,2.6588043,0.977642305,5.298317367
200,16,2.654927969,2.655654841,0.976417524,5.298317367
200,17,2.656422615,2.657108411,0.976980336,5.298317367
200,18,2.656502008,2.657175433,0.977010223,5.298317367
200,19,2.656284571,2.657093074,0.976928369,5.298317367
200,20,2.660079241,2.660712366,0.978355912,5.298317367
200,21,2.658796787,2.659437996,0.977873685,5.298317367
200,22,2.65847826,2.659200595,0.977753876,5.298317367
200,23,2.658839941,2.659526476,0.977889915,5.298317367
200,24,2.662635803,2.663533951,0.979316536,5.298317367
200,25,2.658337831,2.659208511,0.977701052,5.298317367
200,26,2.670832157,2.671894909,0.982390093,5.298317367
200,27,2.662566185,2.663255894,0.979290389,5.298317367
200,28,2.682212353,2.684530785,0.986641959,5.298317367
200,29,2.738765955,2.741816797,1.007507438,5.298317367
200,30,2.675067663,2.676407101,0.983974675,5.298317367
200,31,2.665365934,2.666354621,0.980341359,5.298317367
200,32,2.664705276,2.665751851,0.980093461,5.298317367
200,33,2.668754339,2.669722975,0.981611824,5.298317367
200,34,2.672228575,2.673265467,0.982912797,5.298317367
200,35,2.673528194,2.673739447,0.983399021,5.298317367
200,36,2.664092541,2.663888154,0.97986349,5.298317367
200,37,2.663493156,2.663404936,0.979638478,5.298317367
200,38,2.67220974,2.672307407,0.982905748,5.298317367
200,39,2.67034483,2.670477877,0.982207614,5.298317367
200,40,2.670041323,2.669964944,0.982093949,5.298317367
200,41,2.674283981,2.674549903,0.983681674,5.298317367
200,42,2.675032377,2.675239318,0.983961484,5.298317367
200,43,2.665713787,2.665775417,0.980471859,5.298317367
200,44,2.67163682,2.671683914,0.982691326,5.298317367
200,45,2.732173443,2.733587684,1.005097425,5.298317367
200,46,2.679174423,2.679462326,0.985508696,5.298317367
200,47,2.67312789,2.673226465,0.983249281,5.298317367
200,48,2.730644226,2.731416414,1.004537562,5.298317367
200,49,2.696440697,2.697449641,0.991932643,5.298317367
200,50,2.681278944,2.681650406,0.986293899,5.298317367
200,51,2.737255096,2.738213696,1.006955628,5.298317367
200,52,2.673346281,2.67319609,0.983330976,5.298317367
200,53,2.687390089,2.687506015,0.988570496,5.298317367
200,54,2.686292648,2.686472291,0.988162045,5.298317367
200,55,2.689844131,2.690344118,0.989483248,5.298317367
200,56,2.677991152,2.678104883,0.985066943,5.298317367
200,57,2.686911821,2.687125416,0.988392512,5.298317367
200,58,2.686954021,2.687804932,0.988408218,5.298317367
200,59,2.681476593,2.682281067,0.98636761,5.298317367
200,60,2.683341503,2.68440749,0.987062847,5.298317367
200,61,2.685110807,2.685509968,0.987721996,5.298317367
200,62,2.704761028,2.706076508,0.995013564,5.298317367
200,63,2.678623438,2.679031467,0.98530302,5.298317367
200,64,2.675505638,2.675915847,0.984138386,5.298317367
200,65,2.690756559,2.691563223,0.989822403,5.298317367
200,66,2.693954945,2.69443897,0.991010354,5.298317367
200,67,2.686325788,2.687145319,0.988174382,5.298317367
200,68,2.678075314,2.6785724,0.98509837,5.298317367
200,69,2.682257652,2.683067049,0.986658847,5.298317367
200,70,2.687532187,2.688134139,0.98862337,5.298317367
200,71,2.686693907,2.687167701,0.988311407,5.298317367
200,72,2.683973074,2.684622858,0.987298187,5.298317367
200,73,2.702927113,2.704034913,0.994335302,5.298317367
200,74,2.692593813,2.693144714,0.990504972,5.298317367
200,75,2.685017109,2.68507877,0.9876871,5.298317367
200,76,2.682828665,2.68301396,0.98687171,5.298317367
